point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
21st|B,7,S7,tie,1238.4,2574.98,,,,,21st,B,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|C,7,S7,tie,2229.96,2581.08,,,,,21st,C,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|D,7,S7,tie,3119.26,2586.54,,,,,21st,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|E,8,S8,tie,1170.68,231.09,,,,,19th,E,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|F,8,S8,tie,2159.63,242.12,,,,,19th,F,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|G,8,S8,tie,3059.36,252.15,,,,,19th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|E,8,S8,tie,1174.03,1374.67,,,,,20th,E,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|F,8,S8,tie,2162.97,1385.69,,,,,20th,F,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|G,8,S8,tie,3062.7,1395.73,,,,,20th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|E,8,S8,tie,1177.5,2564.92,,,,,21st,E,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|F,8,S8,tie,2166.45,2575.94,,,,,21st,F,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|G,8,S8,tie,3066.18,2585.98,,,,,21st,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|E,8,S8,tie,1180.61,3629.2,,,,,22nd,E,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|F,8,S8,tie,2169.56,3640.23,,,,,22nd,F,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|G,8,S8,tie,3069.29,3650.26,,,,,22nd,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|A,9,S9,tie,295.4,391.11,,,,,22nd,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|B,9,S9,tie,1226.0,386.69,,,,,22nd,B,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|C,9,S9,tie,2197.54,382.06,,,,,22nd,C,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|D,9,S9,tie,3146.46,377.54,,,,,22nd,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|A,9,S9,tie,287.24,1447.54,,,,,23rd,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|B,9,S9,tie,1217.85,1443.11,,,,,23rd,B,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|C,9,S9,tie,2189.39,1438.49,,,,,23rd,C,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|D,9,S9,tie,3138.3,1433.97,,,,,23rd,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|A,9,S9,tie,278.11,2630.46,,,,,24th,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|B,9,S9,tie,1208.72,2626.03,,,,,24th,B,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|C,9,S9,tie,2180.26,2621.41,,,,,24th,C,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|D,9,S9,tie,3129.17,2616.89,,,,,24th,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|A,9,S9,tie,268.84,3831.83,,,,,25th,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|B,9,S9,tie,1199.45,3827.4,,,,,25th,B,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|C,9,S9,tie,2170.98,3822.78,,,,,25th,C,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|D,9,S9,tie,3119.9,3818.26,,,,,25th,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|D,10,S10,tie,268.76,1400.86,,,,,23rd,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|E,10,S10,tie,1175.37,1399.58,,,,,23rd,E,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|F,10,S10,tie,2223.77,1398.1,,,,,23rd,F,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|G,10,S10,tie,3099.72,1396.87,,,,,23rd,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|D,10,S10,tie,270.65,2523.54,,,,,24th,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|E,10,S10,tie,1177.26,2522.26,,,,,24th,E,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|F,10,S10,tie,2225.66,2520.78,,,,,24th,F,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|G,10,S10,tie,3101.61,2519.54,,,,,24th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|D,10,S10,tie,272.71,3746.39,,,,,25th,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|E,10,S10,tie,1179.32,3745.11,,,,,25th,E,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|F,10,S10,tie,2227.72,3743.63,,,,,25th,F,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|G,10,S10,tie,3103.67,3742.39,,,,,25th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|G,27,S27,tie,178.23,324.04,,,,,22nd,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|H,27,S27,tie,1076.14,331.42,,,,,22nd,H,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|I,27,S27,tie,2103.91,339.87,,,,,22nd,I,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
22nd|J,27,S27,tie,3127.1,348.28,,,,,22nd,J,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|G,27,S27,tie,195.37,1391.14,,,,,23rd,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|H,27,S27,tie,1093.28,1398.52,,,,,23rd,H,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|I,27,S27,tie,2121.05,1406.97,,,,,23rd,I,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
23rd|J,27,S27,tie,3144.24,1415.38,,,,,23rd,J,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|G,27,S27,tie,214.24,2565.31,,,,,24th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|H,27,S27,tie,1112.14,2572.7,,,,,24th,H,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|I,27,S27,tie,2139.91,2581.15,,,,,24th,I,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|J,27,S27,tie,3163.1,2589.56,,,,,24th,J,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|G,27,S27,tie,233.73,3778.52,,,,,25th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|H,27,S27,tie,1131.64,3785.9,,,,,25th,H,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|I,27,S27,tie,2159.4,3794.35,,,,,25th,I,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|J,27,S27,tie,3182.59,3802.77,,,,,25th,J,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|G,29,S29,tie,295.64,181.76,,,,,19th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|H,29,S29,tie,1137.5,186.63,,,,,19th,H,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|I,29,S29,tie,2190.38,192.71,,,,,19th,I,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|J,29,S29,tie,3218.38,198.65,,,,,19th,J,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|G,29,S29,tie,296.25,1324.72,,,,,20th,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|H,29,S29,tie,1138.11,1329.58,,,,,20th,H,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|I,29,S29,tie,2190.99,1335.66,,,,,20th,I,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|J,29,S29,tie,3218.99,1341.6,,,,,20th,J,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|G,29,S29,tie,296.91,2559.46,,,,,21st,G,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|H,29,S29,tie,1138.77,2564.32,,,,,21st,H,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|I,29,S29,tie,2191.65,2570.4,,,,,21st,I,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|J,29,S29,tie,3219.66,2576.34,,,,,21st,J,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
