point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
20th|A,7,S7,tie,202.75,1367.49,,,,,20th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.7px
20th|B,7,S7,tie,1238.89,1374.31,,,,,20th,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 35.6px
20th|C,7,S7,tie,2230.46,1380.84,,,,,20th,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 34.5px
20th|D,7,S7,tie,3189.26,1387.15,,,,,20th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 11.6px
21st|A,7,S7,tie,203.11,2567.97,,,,,21st,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.7px
21st|B,7,S7,tie,1239.24,2574.79,,,,,21st,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 44.4px
21st|C,7,S7,tie,2230.82,2581.31,,,,,21st,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 44.4px
21st|D,7,S7,tie,3189.62,2587.62,,,,,21st,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 44.4px
22nd|A,7,S7,tie,203.43,3663.18,,,,,22nd,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.7px
22nd|B,7,S7,tie,1239.57,3670.0,,,,,22nd,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 35.6px
22nd|C,7,S7,tie,2231.15,3676.52,,,,,22nd,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 34.5px
22nd|D,7,S7,tie,3189.94,3682.83,,,,,22nd,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 18.5px
19th|D,8,S8,tie,210.01,226.71,,,,,19th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 41.1px
19th|E,8,S8,tie,1171.59,233.35,,,,,19th,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 41.1px
19th|F,8,S8,tie,2160.51,240.17,,,,,19th,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 41.1px
19th|G,8,S8,tie,3138.52,246.92,,,,,19th,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 41.1px
20th|D,8,S8,tie,212.78,1370.26,,,,,20th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.0px
20th|E,8,S8,tie,1174.36,1376.9,,,,,20th,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.0px
20th|F,8,S8,tie,2163.29,1383.73,,,,,20th,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.0px
20th|G,8,S8,tie,3141.3,1390.48,,,,,20th,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.0px
21st|D,8,S8,tie,215.67,2560.5,,,,,21st,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 39.1px
21st|E,8,S8,tie,1177.25,2567.13,,,,,21st,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 39.1px
21st|F,8,S8,tie,2166.18,2573.96,,,,,21st,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 39.1px
21st|G,8,S8,tie,3144.19,2580.71,,,,,21st,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 39.1px
22nd|D,8,S8,tie,218.37,3669.26,,,,,22nd,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 14.5px
22nd|E,8,S8,tie,1179.95,3675.9,,,,,22nd,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 32.6px
22nd|F,8,S8,tie,2168.87,3682.73,,,,,22nd,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 34.4px
22nd|G,8,S8,tie,3146.88,3689.48,,,,,22nd,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 14.5px
22nd|A,9,S9,tie,242.37,339.31,,,,,22nd,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.2px
22nd|B,9,S9,tie,1227.39,335.84,,,,,22nd,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 37.4px
22nd|C,9,S9,tie,2198.92,332.41,,,,,22nd,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 47.2px
22nd|D,9,S9,tie,3189.65,328.91,,,,,22nd,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 11.0px
23rd|A,9,S9,tie,233.19,1445.99,,,,,23rd,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.2px
23rd|B,9,S9,tie,1218.21,1442.52,,,,,23rd,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 37.4px
23rd|C,9,S9,tie,2189.74,1439.09,,,,,23rd,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 47.2px
23rd|D,9,S9,tie,3180.47,1435.59,,,,,23rd,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 21.8px
24th|A,9,S9,tie,223.37,2628.9,,,,,24th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 48.2px
24th|B,9,S9,tie,1208.4,2625.43,,,,,24th,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 37.4px
24th|C,9,S9,tie,2179.93,2622.0,,,,,24th,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 47.2px
24th|D,9,S9,tie,3170.65,2618.5,,,,,24th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 34.2px
25th|A,9,S9,tie,213.41,3830.27,,,,,25th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 78.9px
25th|B,9,S9,tie,1198.43,3826.79,,,,,25th,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 78.9px
25th|C,9,S9,tie,2169.96,3823.36,,,,,25th,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 78.9px
25th|D,9,S9,tie,3160.69,3819.87,,,,,25th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 78.9px
22nd|D,10,S10,tie,220.04,261.11,,,,,22nd,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 18.9px
22nd|E,10,S10,tie,1182.04,266.45,,,,,22nd,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 30.9px
22nd|F,10,S10,tie,2230.42,272.28,,,,,22nd,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 50.6px
22nd|G,10,S10,tie,3173.52,277.51,,,,,22nd,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 18.9px
23rd|D,10,S10,tie,216.49,1390.6,,,,,23rd,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 29.2px
23rd|E,10,S10,tie,1178.49,1395.94,,,,,23rd,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 30.9px
23rd|F,10,S10,tie,2226.87,1401.77,,,,,23rd,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 50.6px
23rd|G,10,S10,tie,3169.97,1407.0,,,,,23rd,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 29.2px
24th|D,10,S10,tie,212.96,2513.26,,,,,24th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 40.6px
24th|E,10,S10,tie,1174.96,2518.61,,,,,24th,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 40.6px
24th|F,10,S10,tie,2223.35,2524.43,,,,,24th,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 50.6px
24th|G,10,S10,tie,3166.45,2529.67,,,,,24th,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 40.6px
25th|D,10,S10,tie,209.12,3736.09,,,,,25th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 62.7px
25th|E,10,S10,tie,1171.12,3741.44,,,,,25th,E,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 62.7px
25th|F,10,S10,tie,2219.5,3747.26,,,,,25th,F,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 62.7px
25th|G,10,S10,tie,3162.61,3752.5,,,,,25th,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 62.7px
22nd|G,27,S27,tie,141.75,280.53,,,,,22nd,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 36.4px
22nd|H,27,S27,tie,1075.5,291.58,,,,,22nd,H,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 36.4px
22nd|I,27,S27,tie,2103.33,303.74,,,,,22nd,I,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 47.3px
22nd|J,27,S27,tie,3126.58,315.85,,,,,22nd,J,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 41.9px
23rd|G,27,S27,tie,159.5,1385.28,,,,,23rd,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 51.1px
23rd|H,27,S27,tie,1093.25,1396.33,,,,,23rd,H,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 51.1px
23rd|I,27,S27,tie,2121.07,1408.49,,,,,23rd,I,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 51.1px
23rd|J,27,S27,tie,3144.32,1420.6,,,,,23rd,J,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 51.1px
24th|G,27,S27,tie,178.37,2559.53,,,,,24th,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 59.9px
24th|H,27,S27,tie,1112.11,2570.57,,,,,24th,H,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 59.9px
24th|I,27,S27,tie,2139.94,2582.74,,,,,24th,I,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 59.9px
24th|J,27,S27,tie,3163.19,2594.84,,,,,24th,J,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 59.9px
25th|G,27,S27,tie,197.86,3772.8,,,,,25th,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 67.1px
25th|H,27,S27,tie,1131.6,3783.85,,,,,25th,H,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 67.1px
25th|I,27,S27,tie,2159.43,3796.01,,,,,25th,I,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 67.1px
25th|J,27,S27,tie,3182.68,3808.12,,,,,25th,J,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 67.1px
19th|G,29,S29,tie,242.66,172.57,,,,,19th,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 68.1px
19th|H,29,S29,tie,1146.78,183.31,,,,,19th,H,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 69.0px
19th|I,29,S29,tie,2199.6,195.81,,,,,19th,I,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 68.1px
19th|J,29,S29,tie,3227.55,208.02,,,,,19th,J,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 68.1px
21st|G,29,S29,tie,232.17,2550.13,,,,,21st,G,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 69.0px
21st|H,29,S29,tie,1136.28,2560.87,,,,,21st,H,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 69.0px
21st|I,29,S29,tie,2189.1,2573.37,,,,,21st,I,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 69.0px
21st|J,29,S29,tie,3217.05,2585.58,,,,,21st,J,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 69.0px
