point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
DIR_S9_S10_street_m,9,S9,direction,670.68,2630.4,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|D,high,direction constraint,,true,synthetic DIRECTION point
DIR_S9_S10_street_m,10,S10,direction,-2287.04,2516.79,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|D,high,direction constraint,,true,synthetic DIRECTION point
DIR_S7_S8_street_p,7,S7,direction,5689.57,2602.98,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|D,high,direction constraint,,true,synthetic DIRECTION point
DIR_S7_S8_street_p,8,S8,direction,2715.51,2588.38,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|D,high,direction constraint,,true,synthetic DIRECTION point
DIR_S7_S8_street_m,7,S7,direction,689.67,2572.26,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|D,high,direction constraint,,true,synthetic DIRECTION point
DIR_S7_S8_street_m,8,S8,direction,-2284.17,2532.62,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|D,high,direction constraint,,true,synthetic DIRECTION point
DIR_S8_S29_street_p,8,S8,direction,5644.03,2608.59,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S8_S29_street_p,29,S29,direction,2732.13,2564.57,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S8_S29_street_m,8,S8,direction,644.35,2552.83,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S8_S29_street_m,29,S29,direction,-2267.79,2535.69,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S27_street_p,10,S10,direction,5666.45,2526.14,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S27_street_p,27,S27,direction,2678.29,2580.09,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S27_street_m,10,S10,direction,666.45,2533.2,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S27_street_m,27,S27,direction,-2321.55,2538.97,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|G,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S8_avenue_p,10,S10,direction,2234.63,2772.28,,,,,,,"direction of shared avenues E,F,G",lever 2500px from shared point 22nd|F,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S8_avenue_p,8,S8,direction,2176.18,6182.72,,,,,,,"direction of shared avenues E,F,G",lever 2500px from shared point 22nd|F,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S8_avenue_m,10,S10,direction,2226.21,-2227.72,,,,,,,"direction of shared avenues E,F,G",lever 2500px from shared point 22nd|F,high,direction constraint,,true,synthetic DIRECTION point
DIR_S10_S8_avenue_m,8,S8,direction,2161.56,1182.74,,,,,,,"direction of shared avenues E,F,G",lever 2500px from shared point 22nd|F,high,direction constraint,,true,synthetic DIRECTION point
